City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,2022-01-09 19:32:32,-33.8667,121.9,60.64,67,100,14.97,overcast clouds
1,Nikolskoye,RU,2022-01-09 19:32:33,59.7035,30.7861,26.49,98,98,1.9,snow
2,Kosh-Agach,RU,2022-01-09 19:32:33,50.0,88.6667,-6.43,83,25,3.69,scattered clouds
3,Uinskoye,RU,2022-01-09 19:32:33,56.8817,56.5813,4.66,95,100,11.05,overcast clouds
4,Bonnyville,CA,2022-01-09 19:32:34,54.2668,-110.735,-8.28,90,100,4.41,overcast clouds
5,Barrow,US,2022-01-09 19:30:02,71.2906,-156.7887,-20.18,83,0,4.61,clear sky
6,Kaitangata,NZ,2022-01-09 19:32:34,-46.2817,169.8464,57.74,93,85,1.28,overcast clouds
7,Saskylakh,RU,2022-01-09 19:32:35,71.9167,114.0833,6.31,91,100,13.31,overcast clouds
8,Torbay,CA,2022-01-09 19:32:35,47.6666,-52.7314,26.58,66,20,4.0,few clouds
9,La Baule-Escoublac,FR,2022-01-09 19:32:35,47.2922,-2.364,51.01,97,75,3.44,light intensity drizzle
10,Chokurdakh,RU,2022-01-09 19:32:36,70.6333,147.9167,-25.19,94,11,8.48,few clouds
11,Port Elizabeth,ZA,2022-01-09 19:30:35,-33.918,25.5701,66.49,88,90,6.91,overcast clouds
12,Avarua,CK,2022-01-09 19:32:36,-21.2078,-159.775,82.45,74,99,11.5,overcast clouds
13,Thompson,CA,2022-01-09 19:32:37,55.7435,-97.8558,-21.84,69,0,14.97,clear sky
14,Agropoli,IT,2022-01-09 19:32:37,40.3469,14.9966,49.28,81,92,18.84,overcast clouds
15,Dale,US,2022-01-09 19:32:37,38.1689,-86.99,40.89,65,0,14.97,clear sky
16,Kavieng,PG,2022-01-09 19:32:38,-2.5744,150.7967,80.83,76,100,4.52,light rain
17,Sinnar,SD,2022-01-09 19:32:38,13.5691,33.5672,84.24,26,11,8.93,few clouds
18,Hithadhoo,MV,2022-01-09 19:32:38,-0.6,73.0833,81.23,76,47,6.85,scattered clouds
19,Villarrica,PY,2022-01-09 19:32:39,-25.75,-56.4333,73.27,83,100,5.03,overcast clouds
20,Busselton,AU,2022-01-09 19:32:39,-33.65,115.3333,55.09,80,59,9.42,broken clouds
21,Sorland,NO,2022-01-09 19:32:39,67.667,12.6934,33.66,64,5,9.62,clear sky
22,Dawlatabad,AF,2022-01-09 19:32:40,36.4141,64.9053,41.09,76,8,3.18,clear sky
23,Punta Arenas,CL,2022-01-09 19:32:40,-53.15,-70.9167,51.91,58,75,16.11,broken clouds
24,Saint George,US,2022-01-09 19:32:41,37.1041,-113.5841,57.67,38,0,1.99,clear sky
25,Hermanus,ZA,2022-01-09 19:32:41,-34.4187,19.2345,74.89,79,100,13.15,overcast clouds
26,Yulara,AU,2022-01-09 19:32:41,-25.2406,130.9889,85.84,15,7,13.8,clear sky
27,New Norfolk,AU,2022-01-09 19:32:42,-42.7826,147.0587,61.75,83,100,2.46,overcast clouds
28,Port Alfred,ZA,2022-01-09 19:32:42,-33.5906,26.891,74.19,89,42,24.76,scattered clouds
