City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
16,Kavieng,PG,80.83,light rain,-2.5744,150.7967,Nusa Island Retreat
17,Sinnar,SD,84.24,few clouds,13.5691,33.5672,هجو الطاهر
18,Hithadhoo,MV,81.23,scattered clouds,-0.6,73.0833,Scoop Guest House
19,Villarrica,PY,73.27,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
25,Hermanus,ZA,74.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Yulara,AU,85.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
28,Port Alfred,ZA,74.19,scattered clouds,-33.5906,26.891,The Halyards Hotel
29,Alta Floresta,BR,85.82,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
32,Rockhampton,AU,73.29,few clouds,-23.3833,150.5,Mercure Rockhampton
38,Rikitea,PF,78.06,overcast clouds,-23.1203,-134.9692,People ThankYou
39,Bolobo,CD,76.32,overcast clouds,-2.1667,16.2333,Hotel de Stephen
43,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
44,Sao Miguel Do Araguaia,BR,72.72,light rain,-13.275,-50.1628,Hotel Executivo Palace
46,Grand Gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
47,Vao,NC,77.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
50,Faanui,PF,80.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Soyo,AO,77.65,overcast clouds,-6.1349,12.3689,Hotel Mpampa
64,Ambilobe,MG,75.38,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
67,Tolaga Bay,NZ,71.42,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
68,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
78,Atuona,PF,78.91,scattered clouds,-9.8,-139.0333,Villa Enata
79,Richards Bay,ZA,72.1,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
80,Havelock,US,71.55,broken clouds,34.8791,-76.9013,Sherwood Motel
95,Padang,ID,76.82,overcast clouds,-0.9492,100.3543,Mercure Padang
97,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
98,Vanimo,PG,75.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
99,Kieta,PG,79.65,few clouds,-6.2167,155.6333,Uruna Bay Retreat
101,Kavaratti,IN,79.79,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
102,Pineville,US,80.89,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
105,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Lope De Vega,PH,72.03,scattered clouds,12.2983,124.6238,
109,Cabo San Lucas,MX,80.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Edd,ER,81.32,clear sky,13.9297,41.6925,
111,Porto Velho,BR,82.45,scattered clouds,-8.7619,-63.9039,Hotel Central
112,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
113,Numaran,MX,81.82,clear sky,20.25,-101.9333,Casa
116,Guantanamo,CU,85.57,few clouds,20.1444,-75.2092,Hotel Guantánamo
117,Manjacaze,MZ,70.97,few clouds,-24.7117,33.8828,Hotel Gani
118,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
121,San Patricio,US,82.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
125,Ambon,ID,80.53,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
127,Karratha,AU,82.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
132,Cururupu,BR,77.07,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
134,Poum,NC,81.21,clear sky,-20.2333,164.0167,Gîte kajeon
136,Pascagoula,US,77.04,overcast clouds,30.3658,-88.5561,Regency Inn
137,Kapaa,US,74.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
139,Nabire,ID,74.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
142,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
144,Lodja,CD,71.37,overcast clouds,-3.4833,23.4333,
146,Butaritari,KI,80.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
150,Gambela,ET,82.72,few clouds,8.25,34.5833,Solomon Debebe Hotel
155,Trinidad,BO,89.58,broken clouds,-14.8333,-64.9,Hotel Piesta
156,Sao Filipe,CV,73.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
159,Kawalu,ID,72.59,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
161,Batemans Bay,AU,74.19,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
162,Arraial Do Cabo,BR,73.26,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
163,Pringsewu,ID,73.99,moderate rain,-5.3582,104.9744,Urban Style by Front One
170,Hilo,US,76.12,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
174,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
176,Inhambane,MZ,75.81,light rain,-23.865,35.3833,Oceano
177,Vaini,TO,77.16,overcast clouds,-21.2,-175.2,Keleti Beach Resort
