City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-01-04 00:46:24,-33.65,115.3333,70.09,48,7,12.55
1,Thompson,CA,2022-01-04 00:41:53,55.7435,-97.8558,-25.44,75,20,8.05
2,Bosaso,SO,2022-01-04 00:46:24,11.2842,49.1816,74.86,75,2,6.31
3,Luwuk,ID,2022-01-04 00:46:24,-0.9516,122.7875,84.7,69,100,0.67
4,New Norfolk,AU,2022-01-04 00:46:25,-42.7826,147.0587,63.66,58,100,3.02
5,Castro,BR,2022-01-04 00:46:25,-24.7911,-50.0119,69.8,79,90,6.91
6,Cervo,ES,2022-01-04 00:46:26,43.6702,-7.4101,62.96,76,99,16.64
7,Jumla,NP,2022-01-04 00:46:27,29.2747,82.1838,32.36,54,0,5.53
8,Wajima,JP,2022-01-04 00:46:27,37.4,136.9,36.28,93,75,8.05
9,Touros,BR,2022-01-04 00:46:27,-5.1989,-35.4608,79.7,75,87,13.49
10,Nanchang,CN,2022-01-04 00:46:28,28.6833,115.8833,55.11,55,74,4.63
11,Nemuro,JP,2022-01-04 00:46:28,43.3236,145.575,18.03,62,34,27.36
12,Victoria,HK,2022-01-04 00:45:32,22.2855,114.1577,68.38,73,48,7.0
13,Beryslav,UA,2022-01-04 00:46:29,46.8415,33.4284,43.59,82,100,15.59
14,Rikitea,PF,2022-01-04 00:46:29,-23.1203,-134.9692,78.03,67,100,5.53
15,Dikson,RU,2022-01-04 00:46:30,73.5069,80.5464,-36.04,93,78,7.31
16,Sabang,ID,2022-01-04 00:46:31,5.8933,95.3214,79.9,76,98,12.55
17,Lata,PT,2022-01-04 00:46:31,40.1629,-8.3327,52.81,93,52,5.37
18,Asau,RO,2022-01-04 00:46:32,46.4333,26.4,46.4,61,38,13.35
19,Turukhansk,RU,2022-01-04 00:46:32,65.8167,87.9833,-6.16,96,100,17.16
20,Puerto Narino,CO,2022-01-04 00:46:33,-3.7703,-70.3831,78.75,96,96,2.28
21,Ushuaia,AR,2022-01-04 00:41:35,-54.8,-68.3,42.46,65,75,25.32
22,Siaya,KE,2022-01-04 00:46:33,0.0612,34.2882,66.07,72,98,2.08
23,Port Hedland,AU,2022-01-04 00:46:34,-20.3167,118.5667,89.65,62,100,10.36
24,Tabou,CI,2022-01-04 00:46:34,4.423,-7.3528,78.35,83,62,6.55
25,Bredasdorp,ZA,2022-01-04 00:46:35,-34.5322,20.0403,58.32,88,0,2.3
26,Saskylakh,RU,2022-01-04 00:46:35,71.9167,114.0833,-46.25,98,85,4.43
27,Pozo Colorado,PY,2022-01-04 00:46:36,-23.4923,-58.7972,76.55,77,1,11.12
28,Kaiyuan,CN,2022-01-04 00:46:36,23.6977,103.3037,55.08,86,85,4.63
29,Mareeba,AU,2022-01-04 00:46:36,-17.0,145.4333,90.48,35,42,0.78
30,Clyde River,CA,2022-01-04 00:46:37,70.4692,-68.5914,1.63,85,96,23.02
31,Hermanus,ZA,2022-01-04 00:46:37,-34.4187,19.2345,57.79,82,3,6.06
32,Chuy,UY,2022-01-04 00:46:38,-33.6971,-53.4616,72.27,90,85,9.51
33,Bambous Virieux,MU,2022-01-04 00:46:38,-20.3428,57.7575,75.22,82,81,9.8
34,Bengkulu,ID,2022-01-04 00:46:39,-3.8004,102.2655,76.78,86,100,2.04
35,Lebu,CL,2022-01-04 00:46:39,-37.6167,-73.65,60.28,97,100,5.46
36,Margate,GB,2022-01-04 00:46:39,51.3813,1.3862,49.87,88,100,1.99
37,Arifwala,PK,2022-01-04 00:46:40,30.294,73.0735,59.5,42,100,5.12
38,Lingyuan,CN,2022-01-04 00:46:40,41.24,119.4011,17.02,37,0,2.24
39,Winchester,GB,2022-01-04 00:46:41,51.0651,-1.3187,48.9,94,75,4.61
40,Mahebourg,MU,2022-01-04 00:46:41,-20.4081,57.7,75.25,82,77,9.75
41,Puerto Ayora,EC,2022-01-04 00:46:41,-0.7393,-90.3518,71.31,87,100,5.39
42,Hithadhoo,MV,2022-01-04 00:46:42,-0.6,73.0833,82.26,70,100,5.12
43,Broome,US,2022-01-04 00:46:42,42.2506,-75.833,17.62,80,1,1.01
44,Hilo,US,2022-01-04 00:43:57,19.7297,-155.09,80.33,83,75,11.5
45,Upernavik,GL,2022-01-04 00:46:43,72.7868,-56.1549,-8.07,84,15,6.93
46,Pevek,RU,2022-01-04 00:46:43,69.7008,170.3133,29.03,77,99,29.28
47,Bluff,NZ,2022-01-04 00:47:44,-46.6,168.3333,61.72,83,100,9.28
48,Mataura,NZ,2022-01-04 00:47:44,-46.1927,168.8643,73.67,50,100,2.55
49,Salalah,OM,2022-01-04 00:47:45,17.0151,54.0924,71.69,78,40,3.44
50,Mikhaylovka,RU,2022-01-04 00:47:45,50.06,43.2379,30.78,99,100,6.91
51,Cape Town,ZA,2022-01-04 00:47:46,-33.9258,18.4232,63.88,78,0,3.0
52,Hobart,AU,2022-01-04 00:47:46,-42.8794,147.3294,64.02,73,90,8.05
53,East London,ZA,2022-01-04 00:47:46,-33.0153,27.9116,70.86,94,100,9.69
54,Banepa,NP,2022-01-04 00:47:47,27.6298,85.5214,39.52,100,20,0.0
55,Beringovskiy,RU,2022-01-04 00:47:48,63.05,179.3167,21.51,93,100,7.58
56,Sao Jose Da Coroa Grande,BR,2022-01-04 00:47:48,-8.8978,-35.1478,78.67,76,78,9.33
57,Albany,US,2022-01-04 00:43:57,42.6001,-73.9662,18.75,77,60,1.01
58,Ahipara,NZ,2022-01-04 00:47:49,-35.1667,173.1667,74.86,59,100,11.52
59,Leningradskiy,RU,2022-01-04 00:47:49,69.3833,178.4167,29.62,78,100,6.24
60,Cahors,FR,2022-01-04 00:47:50,44.4167,1.3333,50.32,83,91,5.3
61,Vanimo,PG,2022-01-04 00:47:50,-2.6741,141.3028,82.02,82,73,7.96
62,Severo-Kurilsk,RU,2022-01-04 00:47:50,50.6789,156.125,29.93,91,99,21.3
63,Cap Malheureux,MU,2022-01-04 00:47:51,-19.9842,57.6142,75.47,82,98,1.01
64,Boguchar,RU,2022-01-04 00:47:51,49.9358,40.545,33.57,100,100,10.16
65,Katobu,ID,2022-01-04 00:47:52,-4.9408,122.5276,82.06,76,96,4.94
66,Ishigaki,JP,2022-01-04 00:47:52,24.3448,124.1572,71.73,73,75,17.27
67,Jamestown,US,2022-01-04 00:47:53,42.097,-79.2353,16.72,81,1,1.01
68,Kaitangata,NZ,2022-01-04 00:47:53,-46.2817,169.8464,66.92,77,100,4.92
69,Riachao,BR,2022-01-04 00:47:53,-7.3619,-46.6172,69.48,97,100,1.95
70,Atuona,PF,2022-01-04 00:47:54,-9.8,-139.0333,78.91,73,93,18.32
71,Georgetown,MY,2022-01-04 00:45:47,5.4112,100.3354,80.53,81,20,0.0
72,Ibicui,BR,2022-01-04 00:47:54,-14.8417,-39.9867,64.71,95,100,3.11
73,Nchelenge,ZM,2022-01-04 00:47:54,-9.3451,28.734,70.3,87,100,6.67
74,Kirillov,RU,2022-01-04 00:47:55,59.863,38.3813,-9.63,100,96,0.78
75,Saint-Philippe,RE,2022-01-04 00:47:55,-21.3585,55.7679,75.22,78,17,7.45
76,Cabo San Lucas,MX,2022-01-04 00:46:40,22.8909,-109.9124,74.5,74,5,4.72
77,Mandalgovi,MN,2022-01-04 00:47:56,45.7625,106.2708,9.99,35,0,7.76
78,Kapaa,US,2022-01-04 00:45:26,22.0752,-159.319,79.12,72,1,1.01
79,Sao Filipe,CV,2022-01-04 00:47:56,14.8961,-24.4956,73.58,63,100,8.19
80,Vaini,TO,2022-01-04 00:47:57,-21.2,-175.2,82.56,89,75,27.63
81,Kulhudhuffushi,MV,2022-01-04 00:47:57,6.6221,73.07,82.11,73,12,7.78
82,Mocuba,MZ,2022-01-04 00:47:57,-16.8392,36.9856,72.84,98,100,0.25
83,Mago,RU,2022-01-04 00:47:58,53.2514,140.1822,-20.65,94,18,1.79
84,Sur,OM,2022-01-04 00:47:58,22.5667,59.5289,75.02,71,100,12.39
85,Alta Gracia,AR,2022-01-04 00:47:58,-31.6529,-64.4283,77.77,75,0,7.38
86,Katherine,AU,2022-01-04 00:47:59,-14.4667,132.2667,84.52,65,88,3.44
